entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-02-21T18:17:00+09:00	38245.0	240	38219.3	5.7	SHORT	TP
2024-02-22T11:01:00+09:00	38415.0	60	38401.4	-33.6	LONG	TRAILING_SL
2024-02-22T20:49:00+09:00	38990.0	240	39015.0	-45.0	SHORT	TRAILING_SL
2024-02-23T05:29:00+09:00	38350.0	180	38338.5	-31.5	LONG	TRAILING_SL
2024-02-26T18:52:00+09:00	39250.0	3540	39405.0	135.0	LONG	HORIZON
2024-02-26T23:56:00+09:00	39180.0	0	39431.2	231.2	LONG	TP
2024-02-27T11:01:00+09:00	39435.0	0	39423.7	-8.7	SHORT	TP
2024-02-27T17:46:00+09:00	39335.0	3540	39340.0	-25.0	SHORT	HORIZON
2024-02-28T02:39:00+09:00	39265.0	3540	39295.0	-50.0	SHORT	HORIZON
2024-02-28T06:39:00+09:00	39280.0	0	39285.4	-25.4	SHORT	TRAILING_SL
2024-02-28T18:01:00+09:00	39250.0	3540	39160.0	-110.0	LONG	HORIZON
2024-02-28T22:22:00+09:00	39225.0	180	39244.9	-0.1	LONG	TP
2024-02-29T17:56:00+09:00	38960.0	180	38956.3	-23.7	LONG	TRAILING_SL
2024-03-01T11:50:00+09:00	39155.0	120	39143.5	-31.5	LONG	TRAILING_SL
2024-03-01T18:01:00+09:00	39325.0	3540	39625.0	280.0	LONG	HORIZON
2024-03-01T22:53:00+09:00	39945.0	600	39960.2	-35.2	SHORT	TRAILING_SL
2024-03-02T05:03:00+09:00	39095.0	60	39108.9	-6.1	LONG	TP
2024-03-04T12:08:00+09:00	40200.0	180	40188.2	-8.2	SHORT	TP
2024-03-04T23:36:00+09:00	40020.0	420	40038.6	-1.4	LONG	TP
2024-03-05T11:08:00+09:00	40135.0	120	40143.2	-11.8	LONG	TP
2024-03-05T18:08:00+09:00	40050.0	60	40068.3	-1.7	LONG	TP
2024-03-06T06:24:00+09:00	40155.0	0	40150.2	-15.2	SHORT	TP
2024-03-06T17:47:00+09:00	39830.0	120	39828.1	-21.9	LONG	TRAILING_SL
2024-03-06T23:42:00+09:00	40100.0	300	40085.8	-5.8	SHORT	TP
2024-03-07T23:41:00+09:00	39575.0	120	39546.4	-48.6	LONG	TRAILING_SL
2024-03-08T17:50:00+09:00	39470.0	3540	39475.0	-25.0	SHORT	HORIZON
2024-03-12T12:51:00+09:00	38215.0	0	38203.5	-31.5	LONG	TRAILING_SL
2024-03-12T21:05:00+09:00	38430.0	240	38405.8	-44.2	LONG	TRAILING_SL
2024-03-13T23:46:00+09:00	38435.0	300	38458.7	3.7	LONG	TP
2024-03-14T13:20:00+09:00	38390.0	120	38383.6	-26.4	LONG	TRAILING_SL
2024-03-14T21:31:00+09:00	38365.0	3540	38475.0	90.0	LONG	HORIZON
2024-03-15T11:12:00+09:00	38230.0	300	38212.2	-37.8	LONG	TRAILING_SL
2024-03-15T18:48:00+09:00	38405.0	360	38445.1	20.1	LONG	TP
2024-03-15T23:57:00+09:00	38455.0	120	38477.2	-42.2	SHORT	TRAILING_SL
2024-03-16T06:14:00+09:00	38590.0	0	38584.3	-14.3	SHORT	TP
2024-03-18T18:00:00+09:00	38760.0	0	38745.6	-34.4	LONG	TRAILING_SL
2024-03-19T01:54:00+09:00	38510.0	420	38522.3	-32.3	SHORT	TRAILING_SL
2024-03-19T14:53:00+09:00	39390.0	0	39398.4	-28.4	SHORT	TRAILING_SL
2024-03-19T18:29:00+09:00	39245.0	3540	39180.0	-85.0	LONG	HORIZON
2024-03-21T23:48:00+09:00	39995.0	0	40464.8	449.8	LONG	TP
2024-03-22T11:03:00+09:00	40860.0	240	40871.6	-31.6	SHORT	TRAILING_SL
2024-03-22T19:22:00+09:00	40770.0	60	40784.2	-34.2	SHORT	TRAILING_SL
2024-03-23T01:31:00+09:00	40540.0	120	40559.7	-0.3	LONG	TP
2024-03-25T17:46:00+09:00	40520.0	0	40514.8	-25.2	LONG	TRAILING_SL
2024-03-26T00:01:00+09:00	40195.0	0	40184.9	-30.1	LONG	TRAILING_SL
2024-03-26T18:21:00+09:00	40195.0	120	40212.8	-2.2	LONG	TP
2024-03-27T21:36:00+09:00	40635.0	0	40648.7	-33.7	SHORT	TRAILING_SL
2024-03-28T13:29:00+09:00	40395.0	0	40387.5	-12.5	SHORT	TP
2024-03-28T21:48:00+09:00	40280.0	60	40267.0	-33.0	LONG	TRAILING_SL
