entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-04-19T17:46:00+09:00	37730.0	180	37699.5	314.6	SHORT	TRAILING_SL	-34009.9
2024-04-19T19:16:00+09:00	37000.0	360	37075.4	1107.2	LONG	TRAILING_SL	-32902.7
2024-04-20T07:38:00+09:00	37760.0	240	37786.6	-1397.3	SHORT	TRAILING_SL	-34300.1
2024-04-23T18:53:00+09:00	37625.0	180	37604.9	-1202.2	LONG	TRAILING_SL	-35502.3
2024-04-23T20:58:00+09:00	37540.0	360	37529.7	-910.1	LONG	TRAILING_SL	-36412.4
2024-04-23T22:38:00+09:00	37605.0	300	37638.1	393.6	LONG	TP	-36018.8
2024-04-24T18:05:00+09:00	38075.0	240	38090.1	-702.6	SHORT	TRAILING_SL	-36721.3
2024-04-25T01:53:00+09:00	37595.0	1320	37644.0	579.7	LONG	TP	-36141.6
2024-04-25T18:01:00+09:00	37950.0	240	37985.0	448.6	LONG	TP	-35693.0
2024-04-26T01:52:00+09:00	38330.0	900	38313.7	-725.2	LONG	TRAILING_SL	-36418.3
2024-04-26T21:36:00+09:00	38040.0	1800	37885.0	-3500.0	LONG	HORIZON	-39918.3
2024-04-27T07:11:00+09:00	37325.0	1800	37190.0	-3100.0	LONG	HORIZON	-43018.3
2024-05-01T13:55:00+09:00	38200.0	1800	38110.0	-3300.0	LONG	HORIZON	-46318.3
2024-05-01T18:48:00+09:00	38100.0	240	38150.9	926.5	LONG	TP	-45391.8
2024-05-01T23:35:00+09:00	38285.0	300	38273.0	-960.5	LONG	TRAILING_SL	-46352.3
2024-05-02T06:41:00+09:00	38380.0	1800	38440.0	-2400.0	SHORT	HORIZON	-48752.3
2024-05-02T12:32:00+09:00	38090.0	240	38048.4	432.1	SHORT	TP	-48320.2
2024-05-02T14:16:00+09:00	37830.0	1440	37765.9	881.2	SHORT	TP	-47439.0
2024-05-07T11:30:00+09:00	37850.0	1800	37770.0	-2000.0	LONG	HORIZON	-49439.0
2024-05-07T13:25:00+09:00	37890.0	1800	37845.0	-1300.0	LONG	HORIZON	-50739.0
2024-05-07T17:51:00+09:00	37950.0	1800	38480.0	10200.0	LONG	HORIZON	-40539.0
2024-05-07T20:13:00+09:00	38625.0	1800	38695.0	1000.0	LONG	HORIZON	-39539.0
2024-05-07T22:31:00+09:00	37880.0	1800	38700.0	24000.0	LONG	HORIZON	-15539.0
2024-05-07T23:57:00+09:00	38765.0	5820	37860.0	-18500.0	LONG	HORIZON	-34039.0
2024-05-08T02:48:00+09:00	38550.0	1800	38120.0	-9000.0	LONG	HORIZON	-43039.0
2024-05-08T04:21:00+09:00	38195.0	1800	38630.0	8300.0	LONG	HORIZON	-34739.0
2024-05-08T06:17:00+09:00	37965.0	1800	38635.0	19500.0	LONG	HORIZON	-15239.0
2024-05-08T07:55:00+09:00	38025.0	1800	37970.0	-1500.0	LONG	HORIZON	-16739.0
2024-05-10T14:47:00+09:00	38445.0	10680	38442.3	-346.2	SHORT	TRAILING_SL	-17085.2
2024-05-10T19:08:00+09:00	38645.0	420	38593.5	629.5	SHORT	TP	-16455.6
2024-05-10T21:39:00+09:00	38280.0	480	38244.5	465.9	SHORT	TP	-15989.7
2024-05-11T01:44:00+09:00	38070.0	1080	38107.6	527.5	LONG	TP	-15462.2
2024-05-11T03:27:00+09:00	38000.0	1800	38005.0	-450.0	LONG	HORIZON	-15912.2
2024-05-13T19:04:00+09:00	38120.0	180	38101.0	-780.9	LONG	TRAILING_SL	-16693.2
2024-05-13T21:46:00+09:00	38160.0	180	38148.4	-948.3	LONG	TRAILING_SL	-17641.4
2024-05-14T08:28:00+09:00	38195.0	1800	38185.0	-300.0	SHORT	HORIZON	-17941.4
2024-05-14T17:49:00+09:00	38280.0	180	38286.4	-264.1	SHORT	TRAILING_SL	-18205.5
2024-05-14T19:59:00+09:00	38250.0	420	38207.0	691.4	SHORT	TP	-17514.1
2024-05-14T21:41:00+09:00	38150.0	1200	38180.0	100.0	LONG	TP	-17414.1
2024-05-15T18:07:00+09:00	38685.0	1800	38705.0	0.0	LONG	HORIZON	-17414.1
2024-05-16T18:06:00+09:00	38835.0	180	38798.0	340.0	SHORT	TRAILING_SL	-17074.1
2024-05-16T23:44:00+09:00	38870.0	240	38891.6	-1247.1	SHORT	TRAILING_SL	-18321.2
2024-05-21T01:49:00+09:00	38750.0	660	38736.1	-678.4	LONG	TRAILING_SL	-18999.6
2024-05-22T00:10:00+09:00	38905.0	4980	39065.6	4217.5	LONG	TRAILING_SL	-14782.1
2024-05-22T18:05:00+09:00	38740.0	1800	38740.0	-600.0	LONG	HORIZON	-15382.1
2024-05-23T18:05:00+09:00	38885.0	180	38834.3	614.3	SHORT	TP	-14767.9
2024-05-28T18:02:00+09:00	38915.0	660	38885.0	300.0	SHORT	TP	-14467.9
2024-05-30T23:42:00+09:00	37895.0	240	37900.3	-439.8	LONG	TRAILING_SL	-14907.7
2024-05-31T18:51:00+09:00	38160.0	180	38216.8	1102.6	LONG	TP	-13805.0
2024-06-03T11:27:00+09:00	38425.0	1800	38385.0	-1200.0	LONG	HORIZON	-15005.0
2024-06-03T13:25:00+09:00	38500.0	180	38491.0	-579.5	LONG	TRAILING_SL	-15584.5
2024-06-04T19:01:00+09:00	38730.0	1800	38595.0	-4650.0	LONG	HORIZON	-20234.5
2024-06-05T12:46:00+09:00	38525.0	240	38513.2	-635.2	LONG	TRAILING_SL	-20869.7
2024-06-05T18:46:00+09:00	38410.0	180	38392.7	-1118.7	LONG	TRAILING_SL	-21988.4
2024-06-06T08:01:00+09:00	38485.0	240	38489.0	-480.8	LONG	TRAILING_SL	-22469.2
2024-06-06T18:31:00+09:00	38965.0	660	38913.7	939.0	SHORT	TP	-21530.2
2024-06-10T22:53:00+09:00	39015.0	1800	39035.0	-400.0	SHORT	HORIZON	-21930.2
2024-06-11T07:44:00+09:00	38780.0	480	38823.4	468.4	LONG	TP	-21461.8
2024-06-12T18:43:00+09:00	38905.0	480	38858.0	810.6	SHORT	TP	-20651.2
2024-06-13T08:12:00+09:00	38940.0	1380	38955.4	-708.2	SHORT	TRAILING_SL	-21359.4
2024-06-13T18:10:00+09:00	39085.0	780	39133.0	840.2	LONG	TP	-20519.1
2024-06-14T00:01:00+09:00	38705.0	480	38735.6	317.2	LONG	TP	-20201.9
2024-06-14T22:03:00+09:00	39000.0	300	38954.7	505.5	SHORT	TP	-19696.4
2024-06-17T18:57:00+09:00	38045.0	240	38029.0	-1080.6	LONG	TRAILING_SL	-20777.0
2024-06-17T22:14:00+09:00	37925.0	420	37955.0	300.0	LONG	TP	-20477.0
2024-06-19T18:05:00+09:00	38680.0	180	38659.8	-805.0	LONG	TRAILING_SL	-21282.0
2024-06-20T18:31:00+09:00	38325.0	480	38322.6	-448.2	LONG	TRAILING_SL	-21730.2
2024-06-22T08:04:00+09:00	38665.0	300	38666.8	-182.3	LONG	TRAILING_SL	-21912.5
2024-06-24T18:11:00+09:00	38535.0	420	38573.6	372.3	LONG	TP	-21540.2
2024-07-01T17:47:00+09:00	39895.0	240	39885.7	-879.0	LONG	TRAILING_SL	-22419.3
2024-07-01T19:35:00+09:00	39735.0	180	39717.7	-746.9	LONG	TRAILING_SL	-23166.1
2024-07-03T01:41:00+09:00	39650.0	840	39632.4	-752.1	LONG	TRAILING_SL	-23918.2
2024-07-03T08:12:00+09:00	39660.0	1800	39505.0	-3500.0	LONG	HORIZON	-27418.2
2024-07-03T11:26:00+09:00	40200.0	240	40197.4	-225.8	LONG	TRAILING_SL	-27644.0
2024-07-05T18:46:00+09:00	40915.0	600	40863.7	939.8	SHORT	TP	-26704.2
2024-07-05T21:31:00+09:00	40885.0	300	40855.0	100.0	SHORT	TP	-26604.2
2024-07-08T17:47:00+09:00	40895.0	720	40865.0	200.0	SHORT	TP	-26404.2
2024-07-08T22:16:00+09:00	40985.0	420	40955.0	100.0	SHORT	TP	-26304.2
2024-07-09T08:07:00+09:00	40930.0	1800	40945.0	-700.0	SHORT	HORIZON	-27004.2
2024-07-09T17:47:00+09:00	40950.0	360	40952.1	-357.3	LONG	TRAILING_SL	-27361.5
2024-07-09T19:46:00+09:00	41250.0	240	41287.4	348.4	LONG	TP	-27013.1
2024-07-09T22:34:00+09:00	41660.0	300	41674.6	-346.0	SHORT	TRAILING_SL	-27359.1
2024-07-10T02:05:00+09:00	40930.0	1560	40969.7	394.8	LONG	TP	-26964.2
2024-07-10T23:34:00+09:00	41875.0	420	41841.4	408.6	SHORT	TP	-26555.6
2024-07-12T17:50:00+09:00	41630.0	300	41660.4	313.0	LONG	TRAILING_SL	-26242.6
2024-07-13T07:07:00+09:00	41940.0	480	41985.2	-1303.9	SHORT	TRAILING_SL	-27546.5
2024-07-16T19:35:00+09:00	41255.0	1800	41420.0	4350.0	LONG	HORIZON	-23196.5
2024-07-17T06:27:00+09:00	41075.0	1800	41320.0	4500.0	LONG	HORIZON	-18696.5
2024-07-17T21:44:00+09:00	41200.0	1800	41155.0	-1300.0	LONG	HORIZON	-19996.5
2024-07-18T00:01:00+09:00	41095.0	5340	41133.8	375.9	LONG	TP	-19620.5
2024-07-19T01:49:00+09:00	40875.0	420	40806.0	980.8	SHORT	TP	-18639.8
2024-07-19T13:26:00+09:00	39930.0	360	39967.5	524.3	LONG	TP	-18115.5
2024-07-19T18:08:00+09:00	39890.0	1800	40170.0	-6000.0	SHORT	HORIZON	-24115.5
2024-07-19T23:41:00+09:00	40085.0	600	40043.5	644.8	SHORT	TP	-23470.7
2024-07-20T07:06:00+09:00	40315.0	1800	40315.0	-600.0	SHORT	HORIZON	-24070.7
2024-07-22T17:52:00+09:00	39855.0	360	39885.0	100.0	LONG	TP	-23970.7
2024-07-22T19:41:00+09:00	39805.0	300	39781.7	-866.7	LONG	TRAILING_SL	-24837.4
2024-07-23T18:56:00+09:00	39705.0	300	39657.9	542.1	SHORT	TP	-24295.3
2024-07-24T17:55:00+09:00	39275.0	1800	39465.0	1700.0	LONG	HORIZON	-22595.3
2024-07-26T01:47:00+09:00	39075.0	1800	39040.0	300.0	SHORT	HORIZON	-22295.3
2024-07-26T08:01:00+09:00	38560.0	780	38520.6	581.5	SHORT	TP	-21713.8
2024-07-26T14:19:00+09:00	37665.0	1860	37680.0	-100.0	LONG	HORIZON	-21813.8
2024-07-30T01:56:00+09:00	37895.0	420	37910.9	-717.6	SHORT	TRAILING_SL	-22531.4
2024-07-31T11:16:00+09:00	38060.0	540	38032.8	-944.0	LONG	TRAILING_SL	-23475.4
2024-07-31T14:23:00+09:00	38015.0	1500	38055.0	399.6	LONG	TP	-23075.8
