entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-01-16 08:46:00.000000000	36010.0	2024-01-16 09:00:00.000000000	35910.0	-120.0	LONG	SL
2024-01-16 14:31:00.000000000	35660.0	2024-01-16 14:37:00.000000000	35693.5	13.5	LONG	TP
2024-01-17 02:22:00.000000000	35935.0	2024-01-17 02:28:00.000000000	35898.8	16.2	SHORT	TP
2024-01-17 10:05:00.000000000	36075.0	2024-01-17 10:18:00.000000000	36175.0	-120.0	SHORT	SL
2024-01-17 14:33:00.000000000	35665.0	2024-01-17 14:37:00.000000000	35714.4	29.4	LONG	TP
2024-01-18 08:46:00.000000000	35465.0	2024-01-18 09:00:00.000000000	35365.0	-120.0	LONG	SL
2024-01-22 03:13:00.000000000	36190.0	2024-01-22 04:05:00.000000000	36290.0	-120.0	SHORT	SL
2024-01-22 13:18:00.000000000	36425.0	2024-01-22 14:18:00.000000000	36430.0	-25.0	SHORT	HORIZON
2024-01-23 09:02:00.000000000	36735.0	2024-01-23 09:02:00.000000000	36777.1	22.1	LONG	TP
2024-01-23 14:50:00.000000000	36500.0	2024-01-23 16:30:00.000000000	36568.0	48.0	LONG	TP
2024-01-25 04:25:00.000000000	36275.0	2024-01-25 05:29:00.000000000	36265.0	-10.0	SHORT	HORIZON
2024-01-25 14:42:00.000000000	36270.0	2024-01-25 16:30:00.000000000	36300.3	10.3	LONG	TP
2024-01-26 09:42:00.000000000	36035.0	2024-01-26 09:56:00.000000000	35935.0	-120.0	LONG	SL
2024-01-26 14:39:00.000000000	35875.0	2024-01-26 14:39:00.000000000	35831.9	23.1	SHORT	TP
2024-01-26 20:43:00.000000000	36110.0	2024-01-26 20:44:00.000000000	36093.5	-3.5	SHORT	TP
2024-01-29 08:47:00.000000000	35800.0	2024-01-29 08:53:00.000000000	35831.9	11.9	LONG	TP
2024-01-29 14:33:00.000000000	36030.0	2024-01-29 14:34:00.000000000	35992.9	17.1	SHORT	TP
