 2024-03-14: n_trades: 2, win_rate: 0.5, pf: 0.8723655027851356, pnl: -4.0, avg_pnl: -2.3998775482177734, score: -0.1440870658490812, threshold_trade: 0.60400390625, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 45, trades: []
 2024-03-15: n_trades: 0, win_rate: 0.0, score: -inf
 2024-03-18: n_trades: 4, win_rate: 0.75, pf: 1.9056330628140186, pnl: 43.0, avg_pnl: 10.737588882446289, score: -0.010688933797773852, threshold_trade: 0.4566650390625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 51, trades: []
 2024-03-19: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -134.0, avg_pnl: -135.0, score: -1.105696850263885, threshold_trade: 0.493896484375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 7, trades: []
 2024-03-21: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 1099.0, avg_pnl: 549.4837036132812, score: 1.8242216123788337, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 7, trades: []
 2024-03-22: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 98.0, avg_pnl: 32.85457229614258, score: 2.3639062797230617, threshold_trade: 0.416748046875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 122, trades: []
 2024-03-25: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -89.0, avg_pnl: -29.73307228088379, score: -2.071731740963806, threshold_trade: 0.46484375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 68, trades: []
 2024-03-26: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -52.0, avg_pnl: -26.091796875, score: -1.6722443339516, threshold_trade: 0.436767578125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 45, trades: []
 2024-03-27: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -269.0, avg_pnl: -89.83203125, score: -2.057104941368322, threshold_trade: 0.50830078125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 12, trades: []
 2024-03-28: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 53.0, avg_pnl: 26.814149856567383, score: 1.8081300053972538, threshold_trade: 0.492919921875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 67, trades: []
 2024-03-29: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.08695652173913043, pnl: -104.0, avg_pnl: -35.0, score: -0.49703802139980646, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 73, trades: []
 2024-04-01: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 108.0, avg_pnl: 54.20402526855469, score: 1.8638384276898254, threshold_trade: 0.540283203125, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 28, trades: []
 2024-04-02: n_trades: 2, win_rate: 0.5, pf: 1.0809404058548957, pnl: 3.0, avg_pnl: 1.6129589080810547, score: -0.08659754927663409, threshold_trade: 0.54296875, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 10, trades: []
 2024-04-03: n_trades: 2, win_rate: 0.5, pf: 0.7804891254607655, pnl: -8.0, avg_pnl: -4.245306015014648, score: -0.12335420188533476, threshold_trade: 0.487548828125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 14, trades: []
 2024-04-04: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -32.0, avg_pnl: -32.265625, score: -1.0541248926362028, threshold_trade: 0.5205078125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 1, trades: []
 2024-04-05: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -80.0, avg_pnl: -40.05078125, score: -1.6751455246974059, threshold_trade: 0.4345703125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 58, trades: []
 2024-04-08: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 212.0, avg_pnl: 70.82190704345703, score: 2.3731342577010395, threshold_trade: 0.4315917968749996, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 88, trades: []
 2024-04-09: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 25.0, avg_pnl: 25.128223419189453, score: 1.0878332552865047, threshold_trade: 0.487060546875, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 30, trades: []
 2024-04-10: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 29.0, avg_pnl: 29.013080596923828, score: 1.0936434076267214, threshold_trade: 0.48193359375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 8, trades: []
 2024-04-11: n_trades: 0, win_rate: 0.0, score: -inf
 2024-04-12: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 19.0, avg_pnl: 19.27001190185547, score: -0.023669325411048187, threshold_trade: 0.51708984375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 6, trades: []
 2024-04-15: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -31.0, avg_pnl: -31.3828125, score: -1.105644868871102, threshold_trade: 0.46337890625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 7, trades: []
 2024-04-16: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.4478766313457854, pnl: -56.0, avg_pnl: -18.763566970825195, score: -0.22342200662963801, threshold_trade: 0.505, threshold_dir: 0.7, min_dir_conf: 0.7, raw_signals_count: 93, trades: []
 2024-04-17: n_trades: 3, win_rate: 0.6666666666666666, pf: 1.4316276799125023, pnl: 17.0, avg_pnl: 5.893291473388672, score: -0.10619707300855477, threshold_trade: 0.488037109375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 68, trades: []
 2024-04-18: n_trades: 2, win_rate: 0.5, pf: 0.556548273297957, pnl: -14.0, avg_pnl: -7.07963752746582, score: -0.1932652726363493, threshold_trade: 0.44189453125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 45, trades: []
 2024-04-19: n_trades: 4, win_rate: 0.25, pf: 0.26924454675325665, pnl: -93.0, avg_pnl: -23.44697380065918, score: -0.3143063068449009, threshold_trade: 0.52197265625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 72, trades: []
 2024-04-22: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.4253830166270784, pnl: -47.0, avg_pnl: -15.749592781066895, score: -0.21453906827346653, threshold_trade: 0.53955078125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 29, trades: []
 2024-04-23: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -214.0, avg_pnl: -215.0, score: -1.1041230611228705, threshold_trade: 0.59033203125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 1, trades: []
 2024-04-24: n_trades: 0, win_rate: 0.0, score: -inf
